timestamp;formatted_timestamp;title;subtitle;value;currency
2025-09-06T11:19:00.528Z;2025-09-06T11:19:00.528Z;ANDITEC- NAVARRALANPARTY;;-1.50;EUR
2025-09-06T08:14:05.121Z;2025-09-06T08:14:05.121Z;LA TERRAZA DE NOA;;-8.75;EUR
2025-09-05T21:02:38.243Z;2025-09-05T21:02:38.243Z;SAKURA LIU S.SL.;;-33.40;EUR
2025-09-05T17:01:49.433Z;2025-09-05T17:01:49.433Z;ANDITEC- NAVARRALANPARTY;;-1.00;EUR
2025-09-05T15:25:02.424Z;2025-09-05T15:25:02.424Z;ANDITEC- NAVARRALANPARTY;;-5.10;EUR
2025-09-04T12:21:48.180Z;2025-09-04T12:21:48.180Z;Just Eat;;-20.75;EUR
2025-09-04T10:24:30.247Z;2025-09-04T10:24:30.247Z;Lupe;Bizum;-20.00;EUR
2025-09-03T19:38:06.319Z;2025-09-03T19:38:06.319Z;Gasolinera ARALAR;;-51.02;EUR
2025-09-03T18:02:53.446Z;2025-09-03T18:02:53.446Z;Mama;Bizum;-50.00;EUR
2025-09-03T13:53:51.311Z;2025-09-03T13:53:51.311Z;Cursor;;-17.23;EUR
2025-09-03T13:46:06.610Z;2025-09-03T13:46:06.610Z;Leidy;Bizum;-50.00;EUR
2025-09-03T11:06:30.514Z;2025-09-03T11:06:30.514Z;VAULT BURGER;;-33.80;EUR
2025-09-03T05:38:48.181Z;2025-09-03T05:38:48.181Z;BlaBlaCar;;-7.49;EUR
2025-09-02T20:57:12.829Z;2025-09-02T20:57:12.829Z;McDonald's;;-22.17;EUR
2025-09-02T18:27:08.695Z;2025-09-02T18:27:08.695Z;Gasolinera ARALAR;;-37.33;EUR
2025-09-02T14:44:30.374Z;2025-09-02T14:44:30.374Z;McDonald's;Saving executed;-35.00;EUR
2025-09-02T14:44:30.374Z;2025-09-02T14:44:30.374Z;McDonald's;Round up;-22.86;EUR
2025-09-02T14:33:16.028Z;2025-09-02T14:33:16.028Z;Coca-Cola;Saving executed;-75.00;EUR
2025-09-02T14:33:16.028Z;2025-09-02T14:33:16.028Z;Coca-Cola;Saveback;-15.00;EUR
2025-09-02T11:52:24.833Z;2025-09-02T11:52:24.833Z;MARIA JESUS PALACIOS PALACIOS;Bizum;50.00;EUR
2025-09-02T10:15:18.761Z;2025-09-02T10:15:18.761Z;YouTube;;-13.99;EUR
2025-09-01T20:08:12.671Z;2025-09-01T20:08:12.671Z;Telpark;;-1.15;EUR
2025-09-01T18:44:22.177Z;2025-09-01T18:44:22.177Z;Synergym;;-14.98;EUR
2025-09-01T18:14:19.499Z;2025-09-01T18:14:19.499Z;Mercadona;;-21.33;EUR
2025-09-01T11:31:25.711Z;2025-09-01T11:31:25.711Z;GOSARIA;;-2.00;EUR
2025-09-01T11:25:35.688Z;2025-09-01T11:25:35.688Z;La Tahona Delicatessen;;-2.95;EUR
2025-09-01T11:19:18.033Z;2025-09-01T11:19:18.033Z;Interest;2 % p.a.;54.86;EUR
2025-08-31T17:13:49.881Z;2025-08-31T17:13:49.881Z;McDonald's;;-16.92;EUR
2025-08-31T15:00:04.710Z;2025-08-31T15:00:04.710Z;Mama;Bizum;-50.00;EUR
2025-08-31T14:59:22.747Z;2025-08-31T14:59:22.747Z;Mama;Bizum;-49.85;EUR
2025-08-31T12:42:02.500Z;2025-08-31T12:42:02.500Z;GOSARIA;;-27.20;EUR
2025-08-30T11:03:13.288Z;2025-08-30T11:03:13.288Z;HELADOS EL ARTICO;;-3.80;EUR
2025-08-30T08:31:27.606Z;2025-08-30T08:31:27.606Z;CAMPING CARAVANING PLAYA;;-82.00;EUR
2025-08-29T16:51:48.528Z;2025-08-29T16:51:48.528Z;REGMA COMILLAS;;-10.75;EUR
2025-08-29T15:05:32.941Z;2025-08-29T15:05:32.941Z;Adobe;;-12.99;EUR
